read;set;voltage1;voltage2;date;time;useFunc;deltaFaktor;boostFaktor;updateSeconds;failedUpdatesCount
0;0;0.00;0.00;27.04.2024;22:28:03;1;1000;;20;
1001;1002;0.00;0.00;27.04.2024;22:28:23;1;1000;;20;
1008;1016;0.00;0.00;27.04.2024;22:28:44;1;1000;;20;
1010;1020;0.00;0.00;27.04.2024;22:29:04;1;1000;;20;
980;960;0.00;0.00;27.04.2024;22:29:24;1;1000;;20;
982;964;0.00;0.00;27.04.2024;22:29:45;1;1000;;20;
983;966;0.00;0.00;27.04.2024;22:30:05;1;1000;;20;
976;952;0.00;0.00;27.04.2024;22:30:25;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:01;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:07;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:11;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:15;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:19;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:23;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:27;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:31;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:36;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:40;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:44;1;1000;;20;
0;0;0.00;0.00;27.04.2024;22:31:48;1;1000;;20;
980;942;0.00;0.00;27.04.2024;22:31:49;4;250000;;1;
984;953;0.00;0.00;27.04.2024;22:31:50;4;250000;;1;
981;945;0.00;0.00;27.04.2024;22:31:51;4;250000;;1;
980;942;0.00;0.00;27.04.2024;22:31:52;4;250000;;1;
983;950;0.00;0.00;27.04.2024;22:31:53;4;250000;;1;
981;945;0.00;0.00;27.04.2024;22:31:54;4;250000;;1;
972;920;0.00;0.00;27.04.2024;22:31:55;4;250000;;1;
981;945;0.00;0.00;27.04.2024;22:31:56;4;250000;;1;
984;953;0.00;0.00;27.04.2024;22:31:58;4;250000;;1;
1000;1000;0.00;0.00;27.04.2024;22:31:59;4;250000;;1;
994;982;0.00;0.00;27.04.2024;22:32:00;4;250000;;1;
994;982;0.00;0.00;27.04.2024;22:32:01;4;250000;;1;
988;964;0.00;0.00;27.04.2024;22:32:02;4;250000;;1;
996;988;0.00;0.00;27.04.2024;22:32:03;4;250000;;1;
995;985;0.00;0.00;27.04.2024;22:32:04;4;250000;;1;
985;956;0.00;0.00;27.04.2024;22:32:05;4;250000;;1;
990;970;0.00;0.00;27.04.2024;22:32:06;4;250000;;1;
979;939;0.00;0.00;27.04.2024;22:32:07;4;250000;;1;
990;970;0.00;0.00;27.04.2024;22:32:08;4;250000;;1;
986;959;0.00;0.00;27.04.2024;22:32:09;4;250000;;1;
988;964;0.00;0.00;27.04.2024;22:32:10;4;250000;;1;
932;822;0.00;0.00;27.04.2024;22:32:12;4;250000;;1;
932;822;0.00;0.00;27.04.2024;22:32:13;4;250000;;1;
869;700;0.00;0.00;27.04.2024;22:32:14;4;250000;;1;
834;649;0.00;0.00;27.04.2024;22:32:15;4;250000;;1;
792;599;0.00;0.00;27.04.2024;22:32:16;4;250000;;1;
768;576;0.00;0.00;27.04.2024;22:32:17;4;250000;;1;
748;561;0.00;0.00;27.04.2024;22:32:18;4;250000;;1;
722;543;0.00;0.00;27.04.2024;22:32:19;4;250000;;1;
703;533;0.00;0.00;27.04.2024;22:32:20;4;250000;;1;
687;526;0.00;0.00;27.04.2024;22:32:21;4;250000;;1;
670;519;0.00;0.00;27.04.2024;22:32:22;4;250000;;1;
637;510;0.00;0.00;27.04.2024;22:32:23;4;250000;;1;
613;505;0.00;0.00;27.04.2024;22:32:24;4;250000;;1;
589;502;0.00;0.00;27.04.2024;22:32:26;4;250000;;1;
578;501;0.00;0.00;27.04.2024;22:32:27;4;250000;;1;
533;500;0.00;0.00;27.04.2024;22:32:28;4;250000;;1;
526;500;0.00;0.00;27.04.2024;22:32:29;4;250000;;1;
487;500;0.00;0.00;27.04.2024;22:32:30;4;250000;;1;
451;500;0.00;0.00;27.04.2024;22:32:31;4;250000;;1;
432;499;0.00;0.00;27.04.2024;22:32:32;4;250000;;1;
406;497;0.00;0.00;27.04.2024;22:32:33;4;250000;;1;
378;493;0.00;0.00;27.04.2024;22:32:34;4;250000;;1;
348;486;0.00;0.00;27.04.2024;22:32:35;4;250000;;1;
330;481;0.00;0.00;27.04.2024;22:32:36;4;250000;;1;
305;471;0.00;0.00;27.04.2024;22:32:37;4;250000;;1;
291;464;0.00;0.00;27.04.2024;22:32:38;4;250000;;1;
268;451;0.00;0.00;27.04.2024;22:32:40;4;250000;;1;
248;436;0.00;0.00;27.04.2024;22:32:41;4;250000;;1;
216;409;0.00;0.00;27.04.2024;22:32:42;4;250000;;1;
176;364;0.00;0.00;27.04.2024;22:32:43;4;250000;;1;
113;269;0.00;0.00;27.04.2024;22:32:44;4;250000;;1;
86;217;0.00;0.00;27.04.2024;22:32:45;4;250000;;1;
14;41;0.00;0.00;27.04.2024;22:32:46;4;250000;;1;
0;0;0.00;0.00;27.04.2024;22:32:47;4;250000;;1;
10;30;0.00;0.00;27.04.2024;22:32:48;4;250000;;1;
11;33;0.00;0.00;27.04.2024;22:32:49;4;250000;;1;
357;489;0.00;0.00;27.04.2024;22:32:50;4;250000;;1;
365;491;0.00;0.00;27.04.2024;22:32:51;4;250000;;1;
373;492;0.00;0.00;27.04.2024;22:32:52;4;250000;;1;
365;491;0.00;0.00;27.04.2024;22:32:54;4;250000;;1;
